Price,Cities,departure_time,arrival_time,layeover,Airline,Scraping_Time
" 6,159","New Delhi to Mumbai , 27 May",12:50,15:00,Non stop,Vistara,2021-05-16 23:44:34.654036
" 6,159","New Delhi to Mumbai , 27 May",15:30,17:40,Non stop,Vistara,2021-05-16 23:44:34.654036
" 5,326","New Delhi to Mumbai , 27 May",07:00,15:05,1 stop via Dehradun,Spicejet,2021-05-16 23:44:34.654036
" 5,326","New Delhi to Mumbai , 27 May",20:10,06:35,1 stop via Ahmedabad,Spicejet,2021-05-16 23:44:34.654036
" 5,595","New Delhi to Mumbai , 27 May",07:20,09:35,Non stop,Spicejet,2021-05-16 23:44:34.654036
" 5,595","New Delhi to Mumbai , 27 May",18:45,21:05,Non stop,Spicejet,2021-05-16 23:44:34.654036
" 5,595","New Delhi to Mumbai , 27 May",19:45,22:05,Non stop,Spicejet,2021-05-16 23:44:34.654036
" 6,663","New Delhi to Bengaluru , 27 May",14:15,17:05,Non stop,Vistara,2021-05-16 23:44:57.826668
" 6,626","New Delhi to Bengaluru , 27 May",07:25,13:20,1 stop via Patna,Spicejet,2021-05-16 23:44:57.826668
" 6,855","New Delhi to Bengaluru , 27 May",06:15,08:50,Non stop,Spicejet,2021-05-16 23:44:57.826668
" 6,855","New Delhi to Bengaluru , 27 May",20:05,22:55,Non stop,Spicejet,2021-05-16 23:44:57.826668
" 5,319","New Delhi to Hyderabad , 27 May",14:45,17:00,Non stop,Vistara,2021-05-16 23:45:20.241460
" 5,363","New Delhi to Hyderabad , 27 May",14:50,20:40,1 stop via Jharsuguda,Spicejet,2021-05-16 23:45:20.241460
" 5,594","New Delhi to Hyderabad , 27 May",20:20,22:30,Non stop,Spicejet,2021-05-16 23:45:20.241460
" 5,594","New Delhi to Hyderabad , 27 May",16:35,20:30,1 stop via Pune,Spicejet,2021-05-16 23:45:20.241460
" 6,663","New Delhi to Chennai , 27 May",13:30,16:20,Non stop,Vistara,2021-05-16 23:45:44.894792
" 6,625","New Delhi to Chennai , 27 May",15:10,23:10,1 stop via Patna,Spicejet,2021-05-16 23:45:44.894792
" 6,625","New Delhi to Chennai , 27 May",07:00,16:50,1 stop via Goa,Spicejet,2021-05-16 23:45:44.894792
" 6,625","New Delhi to Chennai , 27 May",20:20,06:55,1 stop via Hyderabad,Spicejet,2021-05-16 23:45:44.894792
" 6,855","New Delhi to Chennai , 27 May",18:55,21:35,Non stop,Spicejet,2021-05-16 23:45:44.894792
" 6,855","New Delhi to Chennai , 27 May",06:10,09:10,Non stop,Spicejet,2021-05-16 23:45:44.894792
" 5,319","New Delhi to Kolkata , 27 May",06:15,08:20,Non stop,Vistara,2021-05-16 23:46:01.450206
" 5,369","New Delhi to Kolkata , 27 May",09:25,14:20,1 stop via Bagdogra,Spicejet,2021-05-16 23:46:01.450206
" 5,369","New Delhi to Kolkata , 27 May",13:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-16 23:46:01.450206
" 5,369","New Delhi to Kolkata , 27 May",11:10,18:05,1 stop via Darbhanga,Spicejet,2021-05-16 23:46:01.450206
" 5,369","New Delhi to Kolkata , 27 May",13:10,14:20,1 stop via Bagdogra,Spicejet,2021-05-16 23:46:01.450206
" 5,595","New Delhi to Kolkata , 27 May",18:20,20:30,Non stop,Spicejet,2021-05-16 23:46:01.450206
" 5,595","New Delhi to Kolkata , 27 May",05:30,08:05,Non stop,Spicejet,2021-05-16 23:46:01.450206
" 7,895","New Delhi to Kochi , 27 May",15:40,18:50,Non stop,Vistara,2021-05-16 23:46:23.711694
" 5,669","New Delhi to Kochi , 27 May",07:20,20:05,1 stop via Mumbai,Spicejet,2021-05-16 23:46:23.711694
" 9,743","New Delhi to Goa , 27 May",15:30,12:45,1 stop via Mumbai,Vistara,2021-05-16 23:46:38.870090
" 6,931","New Delhi to Goa , 27 May",06:15,11:05,1 stop via Bengaluru,Spicejet,2021-05-16 23:46:38.870090
" 6,931","New Delhi to Goa , 27 May",07:20,13:00,1 stop via Mumbai,Spicejet,2021-05-16 23:46:38.870090
" 6,931","New Delhi to Goa , 27 May",05:45,17:30,1 stop via Ahmedabad,Spicejet,2021-05-16 23:46:38.870090
" 6,931","New Delhi to Goa , 27 May",20:05,11:05,1 stop via Bengaluru,Spicejet,2021-05-16 23:46:38.870090
" 6,931","New Delhi to Goa , 27 May",18:45,13:00,1 stop via Mumbai,Spicejet,2021-05-16 23:46:38.870090
" 6,931","New Delhi to Goa , 27 May",20:20,14:50,1 stop via Hyderabad,Spicejet,2021-05-16 23:46:38.870090
